Name,sat_score,Number of Exams with scores 3 4 or 5,AVERAGE CLASS SIZE,total_enrollment,ell_percent,asian_per,black_per,white_per,hispanic_per,male_per,female_per,school_dist,saf_s_11
MANHATTAN/HUNTER SCIENCE HIGH SCHOOL            ,1446,153.45,21.6,453,1.3,25.6,21.4,10.2,41.5,41.1,58.9,3,7.3
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL  ,1096,153.45,21.89285714,413,5.8,0.7,77.7,1.5,18.9,54.2,45.8,3,5.8
COALITION SCHOOL FOR SOCIAL CHANGE              ,1084,153.45,21.32,349,9.7,0.9,39.3,0.9,58.7,44.4,55.6,4,6.6
MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS    ,1430,261,31.06666667,1650,2.7,20.1,19.7,2.2,57.4,46.4,53.6,4,6.6
PARK EAST HIGH SCHOOL                           ,1128,153.45,19.04,349,4.3,4.9,33.2,0.3,59.6,42.1,57.9,4,7
CENTRAL PARK EAST SECONDARY HIGH SCHOOL         ,1221,153.45,25.16428571,445,4,6.5,26.7,1.6,64.5,32.1,67.9,4,6.6
YOUNG WOMEN'S LEADERSHIP SCHOOL                 ,1326,29,25.71176471,449,2.2,5.1,31.2,1.6,60.1,0,100,4,7.5
YOUNG WOMEN'S LEADERSHIP SCHOOL                 ,1326,153.45,25.71176471,449,2.2,5.1,31.2,1.6,60.1,0,100,4,7.5
THE HERITAGE SCHOOL                             ,1054,153.45,20.69285714,294,6.8,0.3,28.9,1,69.4,48.6,51.4,4,6.4
MOTT HALL HIGH SCHOOL                           ,1210,153.45,25.64,426,8.7,0.9,35,0.2,63.8,53.5,46.5,5,6.2
COLUMBIA SECONDARY SCHOOL                       ,1223.438806,153.45,25.36666667,474,0.6,11.6,20,18.4,48.5,49.6,50.4,5,6.9
ACADEMY FOR SOCIAL ACTION                       ,1062,153.45,23.43076923,425,9.9,0.5,61.4,0,38.1,48.7,51.3,5,5.7
URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS   ,1077,153.45,24.23846154,374,6.1,0.5,59.1,0.8,38.2,25.4,74.6,5,5.2
FREDERICK DOUGLASS ACADEMY                      ,1374,159,26.68125,1556,2.4,1.2,74.4,1.3,22.8,52.2,47.8,5,5.7
THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIA,1202,153.45,22.99333333,580,1.4,0.2,78.1,0.2,20.9,44.1,55.9,5,6.7
HIGH SCHOOL FOR MATHEMATICS SCI AND ENGINEERING ,1847,71,21.68125,406,0,36.2,15,26.1,21.2,65.8,34.2,5,7.8
CITY COLLEGE ACADEMY OF THE ARTS                ,1270,153.45,23.63571429,586,6.1,0.7,6,1.2,92,39.6,60.4,6,7.8
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS         ,1105,153.45,27.06923077,520,30,0.2,5.2,0.8,93.8,52.3,47.7,6,6.4
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,1174,153.45,28.06,602,19.6,0,2.3,0.3,96.7,55.8,44.2,6,7.5
HIGH SCHOOL FOR EXCELLENCE AND INNOVATION       ,1223.438806,153.45,17,178,19.7,0,25.8,0,72.5,52.8,47.2,6,7.6
